name,operatorAddress
Disperze,evmosvaloper1sp9frqwep52chwavv3xd776myy8gyyvkv5uysl
Cosmostation,evmosvaloper1f35jtt5m68zlxkpxn75403vv82cchahqvfsrup
Allnodes,evmosvaloper1c55g6u7q2uzgks9gjp80sle8n6qcyg64vk64g2
Oni,evmosvaloper1hyytyjxr02j72cx0cgjl24s3nn2yrdqqaslk84
OrbitalApes.com,evmosvaloper1mx9nqk5agvlsvt2yc8259nwztmxq7zjqep5khu
polkachu.com,evmosvaloper125fkz3mq6qxxpkmphdl3ep92t0d3y969xmt8hz
Citadel.one,evmosvaloper1p5k54qk9jdamvw4r756g7dxsjarf6p0l3huk84
SG-1,evmosvaloper1dgepvcm7mqdqmzz9lng8kh88ykd298esn8qya5
Stakely.io,evmosvaloper19fxanpnjlggzuur3m3x0puk5ez7j9lrttexwsw
Provalidator,evmosvaloper1tdss4m3x7jy9mlepm2dwy8820l7uv6m2vx6z88
ECO Stake,evmosvaloper1umk407eed7af6anvut6llg2zevnf0dn0feqqny
Stakecito,evmosvaloper1yujr2clwszfmt65myeq2lp6jnjv364hjjln5ua
Frens,evmosvaloper14zatq4jagqtm9ejgvglnv0t364d88u80futp65
Swiss Staking,evmosvaloper1vw76ju5rwt9us7kz8tg42t6yfmq2jftydu74u6
alkadeta,evmosvaloper13h9qxch4r8ep2x8ynwlmcvcl6h902zg5elznhq
Meria,evmosvaloper1hn8u6x03mklzdy69r9khsd9q4yft7gmrkz8qkj
POSTHUMAN  StakeDrop,evmosvaloper1jk7umxyky5m5dul46t8nxneavlg7eysjr6lfj7
Imperator.co,evmosvaloper1fqeezech7r9mr20aggde4a36qf4zy57r5qm0dm
Smart Stake,evmosvaloper174jlcery04j6r7wgvequeysruyjlhtcmlhnhy2
0base.vc,evmosvaloper1rh9uz23gmhr6q92a45qrath4fr9ffefz4eas0z
DragonStake,evmosvaloper10qpycc2egucukw8afcz4us7xlxxmfwh6rscvjz
[Sunsetting on July 17 - please redelegate],evmosvaloper1pj3c7q7tj888h4ms9uq2qql2hf84pndx3zvleu
NodeStake,evmosvaloper1xaxg47uw046uw8vgpp3da367ctw9aguqjuyyyx
Mandragora,evmosvaloper1zqkrqsvrn4hskeywd56gx2dcy50mnyp6wq7txc
Trust Nodes,evmosvaloper1k875gxzhegt59na74z5a8ejhen2thhvejk4r2e
Hanchon.live,evmosvaloper1dgpv4leszpeg2jusx2xgyfnhdzghf3rf0qq22v
binary_holdings,evmosvaloper1vhuyfr9l7ytd0w9mtdx2033qrc0s6vjj8w37j6
Nodes.Guru,evmosvaloper1vw7k3z99swlv7svjmnrrqvu6zdmatqhvzuz7lu
MZONDER,evmosvaloper1zk0sx2e677293wfmhxngpexu50vps3sdwyef92
Cosmos Spaces,evmosvaloper17z0xyw6vwjn6gqj86s3axs7mjsngdl6sncdwga
jabbey,evmosvaloper17vze0tk7q7gwpd6jt69p4m5svrty40yw9a88e3
DeFi100-iCosmosDAO,evmosvaloper1k9lay7ec328u2cmmtp8m8309msztt5hz7euvcc
Jerry's Pool,evmosvaloper1lldjhjnn32e8vek7cxe9g05nf8j74y0xs5zmsu
Interop (shutting down Sep. 23th),evmosvaloper1wvgslxyxtg798cwsjj9epjcxxj8xqhj4a4pfzq
Citizen Web3,evmosvaloper1mtwvpdd57gpkyejd566s24afr9zm5ryq8gwpvj
Legion Nodes - Shutting Down 9/20,evmosvaloper1uc2v23g8cha0m6kd2ghwn766fyccf0nmfw3prt
Redelegate-Please,evmosvaloper1qh3vayfp3fwl8cx84fytwpzpzfdg8rcnc2q6uf
AutoStake Slash Protected,evmosvaloper1shvcjzhcxau6qtlz9w82a646ecwp4hq7ayqt0w
silent,evmosvaloper1psf28krr9muve6w0qzgjlrju5mamlsac96l85q
Lavender.Five Nodes,evmosvaloper155yk4wfn0xqye80exlsr6hu4qdfsvsgw63w87l
Regenerator | Green Validator,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx
AM Solutions ,evmosvaloper1qx7u07f2tv5j8677r3ttt97prkc2dgcyp2km24
Validatrium.com,evmosvaloper1fn9ldnvd5mt2fcn5prq2lhvcga6tmtlhugv8x3
Chandra Station,evmosvaloper18zt355ccyxd3kj23mz5hdz00qqn5lk5kjnj74m
Chorus One,evmosvaloper14yeq3lkajldaggj28hmq8xng9xux7x5g86tx29
TC Network,evmosvaloper1yw3uzauqx3lywnttftjr728e3j6e9ptfk7h406
Alphabet,evmosvaloper133p2ksvmtlnj3e30ekrdkqgj25eaahncuj27wm
Golden Ratio Staking,evmosvaloper1t3rfzrxeslmtz62mydyf2xmmxehwk7xzaaucjd
Stakin | Discontinued,evmosvaloper1sq9ggymzx02vcp7kf6yyar83scfm4r22swu673
StakeTown,evmosvaloper147hzfg34xumd2aplfhx39hweqsem8v0zxqtehx
Qubelabs,evmosvaloper1f08fffp8zz42jj0f6wh3gyu7he4hf6zzs6mn8j
Encapsulate (fka KingSuper),evmosvaloper1s5sckwx0h02xw7qkdyu6auj8vq0a5gcr2u98kc
Bro_n_Bro,evmosvaloper1ce4vh0e5kanlgc7z0rhcemvd8erjnfzcyfecl7
windpowerstake,evmosvaloper1qmpmzdesg9gr5wpyzkssayldnhk3pa8x2nwlwp
sleepykitten loves you <3 - Re-delegate,evmosvaloper1lwfuc2lc27mk8yys2zcd0qttcwmnd6x7gks5m5
[Sunsetting,evmosvaloper1ak9t7kwk44azu6cefqdydqmy3hen28nvdjjvz0
