Denom,Exponent,Symbol,Name
aevmos,18,EVMOS,Evmos
erc20/0x153A59d48AcEAbedbDCf7a13F67Ae52b434B810B,18,ceWETH,erc20/0x153A59d48AcEAbedbDCf7a13F67Ae52b434B810B
erc20/0x1cFc8f1FE8D5668BAFF2724547EcDbd6f013a280,18,BERLIN,erc20/0x1cFc8f1FE8D5668BAFF2724547EcDbd6f013a280
erc20/0x655ecB57432CC1370f65e5dc2309588b71b473A9,18,NEOK,erc20/0x655ecB57432CC1370f65e5dc2309588b71b473A9
erc20/0x940dAAbA3F713abFabD79CdD991466fe698CBe54,18,ceDAI,erc20/0x940dAAbA3F713abFabD79CdD991466fe698CBe54
erc20/0x98fAFD9F714CE0B4bB2870527076F2F314aAed82,18,TASHI,erc20/0x98fAFD9F714CE0B4bB2870527076F2F314aAed82
erc20/0xb72A7567847abA28A2819B855D7fE679D4f59846,6,ceUSDT,erc20/0xb72A7567847abA28A2819B855D7fE679D4f59846
erc20/0xb98e169C37ce30Dd47Fdad1f9726Fb832191e60b,8,ceWBTC,erc20/0xb98e169C37ce30Dd47Fdad1f9726Fb832191e60b
erc20/0xe46910336479F254723710D57e7b683F3315b22B,6,ceUSDC,erc20/0xe46910336479F254723710D57e7b683F3315b22B
erc20/0xfbF4318d24a93753F11d365A6dcF8b830e98Ab0F,18,CROWDP,erc20/0xfbF4318d24a93753F11d365A6dcF8b830e98Ab0F
ibc/0830AFFC2F4F7CD24F9CEC07024FEA64CE3C5ABBC520DBD803BFA97BC3DCCA85,6,stATOM,Stride Staked Atom
ibc/0C19171CDC59451F91D2749CDEA63355532DCD5D8904CCBAC4953290E16AB8FD,6,whUSDC,Wormhole USDC on Ethereum
ibc/1464C6BD4C7ADB0A15BE85F48EE1E04A5371F4727F609FBAB788CF5137FDAAB7,6,stSTARS,Stride Staked Stars
ibc/18D5C3CDDF1DEE108CE4BF0A7E0262D94D11AB06A37F68EA38F70CC92C5D894F,6,TORI,Teritori
ibc/21C0C3E238D48E370841635ADC3322F5D3D26342679102D5865DA8A56BD9524E,6,STRD,Stride
ibc/26E6508A1757E12B15A087E951F5D35E73CF036F0D97BC809E1598D1DD870BED,18,axlPEPE,Pepe on Axelar
ibc/28F9F0420534AE42F7D220B04518A3A45A7F40A0855A1C353CB4BB7223A70F5A,6,qATOM,Quicksilver Liquid Staked ATOM
ibc/2B62892BD3F90ADE34E16E409303DFC2D6CD7B59CA85CC9D2B424F229CF3D590,6,stATOM,Stride Staked Atom
ibc/350B6DC0FF48E3BDB856F40A8259909E484259ED452B3F4F39A0FEF874F30F61,8,ibc G-WBTC,Wrapped Bitcoin channel-8
ibc/35357FE55D81D88054E135529BB2AEB1BB20D207292775A19BD82D83F27BE9B4,6,USDC,USDC
ibc/356EDE917394B2AEF7F915EB24FA683A0CCB8D16DD4ECCEDC2AD0CEC6B66AC81,18,axlWETH,Wrapped Ether on Axelar
ibc/36DCDCDFB1D0D723546878E241BC5800D27214E1E1DA31A4E424DE2280B0B0EE,6,REGEN,Regen Network
ibc/43BD3A576550CDCD183BC093AEB610B3C2057AD12BA3C27D67AE9F4BCA74F2C8,18,axlWSTETH,Lido staked ETH on Axelar
